,MNPD,P,dppmG,,RS,r|GRGSSrnS,RsnDNS,S,||
,MNPD,dnS,rsndpmdppmgrSr|G,mpdppmGgrS,rsnDNS,S,||
,MNPD,dnsrgrsnrsndsndpmgrs|srgmdnSrssndmpmgrSrsndNS,S,||
,SS,rG,MdmDndNsnNGRS|SrnnsrS,rsnDdnSdnsndpMmpdP,dpmG||
,SsrsrG,mgmddmdnndnsnsrgsrns|SrnnsrS,rsnDdnSdnsndpMmpdP,dpmG||
,mdN,D,PdpMpmG,,RSr|G,mpdppmGgrS,rsnDNS,S,||
,SS,nndDdnSN,dpMdPgM,|,PDPD,nSNDNDNS,sndp||
dnSnsrS,nndDdnSN,dpMmpdp,gM,|,PDPdndnsrsnDNDdnS,S,||
,DD,dnsrsrGRS,RNSDN|NGRSsrsnDPpdNdpMmpdP,dpmG||
,DD,dnsrsrGRS,RNSDN|ngRmgGRSsrsnDPpdNdpMmpdP,dpmG||
,MNPD,dnsrgrsnrsndsndpmgrs|srgmdnSrssndmpmgrSrsndNS,S,||
,SsrsrG,mgmddmdnndnsnsrgsrns|SrnnsrS,rsnDdnSdnsndpMmpdP,dpmG||
,mdN,D,PdpMpmG,,RSr|G,mpdppmGgrS,rsnDNS,S,||
,P,DP,,PM,,PppmgM,|,P,dND,,P,dpMPppmgM,||
,G,MDMmdNDddnddmG,rrS|,S,rsRGM,pdnddpMpdpdP,||
,SS,nndDdnSN,dpMdPgM,|,PDPD,nSNDNDNS,,,||
dnSnsrS,nndDdnSN,dpMmpdp,gM,|,PDPdndnsrsnDNDdnS,S,||
,DD,dnsrsrGRS,RNSDN|NGRSsrsnDPpdNdpMmpdP,dpmG||
,DD,dnsrsrGRS,RNSDN|ngRmgGRSsrsnDPpdNdpMmpdP,dpmG||
,MNPD,dnsrgrsnrsndsndpmgrs|srgmdnSrssndmpmgrSrsndNS,S,||
,SsrsrG,mgmddmdnndnsnsrgsrns|SrnnsrS,rsnDdnSdnsndpMmpdP,dpmG||
,mdN,D,PdpMpmG,,RSr|G,mpdppmGgrS,rsnDNS,S,||
